questionId,topic,assetId,hasImage,isSample,screenshotPath
TX-PAV-0001,PAVEMENT_MARKINGS,PAVEMENT_SOLID_WHITE_LINE,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-PAV-0001__PAVEMENT_SOLID_WHITE_LINE.png
TX-PAV-0002,PAVEMENT_MARKINGS,PAVEMENT_DASHED_WHITE_LINE,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-PAV-0002__PAVEMENT_DASHED_WHITE_LINE.png
TX-PAV-0003,PAVEMENT_MARKINGS,PAVEMENT_DOUBLE_YELLOW_SOLID,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-PAV-0003__PAVEMENT_DOUBLE_YELLOW_SOLID.png
TX-PAV-0005,PAVEMENT_MARKINGS,PAVEMENT_SINGLE_YELLOW_DASHED,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-PAV-0005__PAVEMENT_SINGLE_YELLOW_DASHED.png
TX-PAV-0006,PAVEMENT_MARKINGS,PAVEMENT_DOUBLE_YELLOW_MIXED,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-PAV-0006__PAVEMENT_DOUBLE_YELLOW_MIXED.png
TX-PAV-0026,PAVEMENT_MARKINGS,PAVEMENT_ARROW_LEFT,true,false,
TX-PAV-0027,PAVEMENT_MARKINGS,PAVEMENT_ARROW_STRAIGHT,true,false,
TX-PAV-0028,PAVEMENT_MARKINGS,PAVEMENT_ONLY_TEXT,true,false,
TX-PAV-0029,PAVEMENT_MARKINGS,PAVEMENT_CROSSWALK_ZEBRA,true,false,
TX-PAV-0030,PAVEMENT_MARKINGS,PAVEMENT_STOP_LINE,true,false,
TX-PAV-0031,PAVEMENT_MARKINGS,PAVEMENT_YIELD_LINE,true,false,
TX-PAV-0032,PAVEMENT_MARKINGS,PAVEMENT_ARROW_RIGHT,true,false,
TX-PAV-0033,PAVEMENT_MARKINGS,PAVEMENT_ARROW_LEFT_STRAIGHT,true,false,
TX-PAV-0038,PAVEMENT_MARKINGS,PAVEMENT_SCHOOL_ZONE,true,false,
TX-PAV-0040,PAVEMENT_MARKINGS,PAVEMENT_NO_PASSING_ZONE,true,false,
TX-PAV-0041,PAVEMENT_MARKINGS,PAVEMENT_ARROW_RIGHT_STRAIGHT,true,false,
TX-PAV-0061,PAVEMENT_MARKINGS,PAVEMENT_BIKE_LANE,true,false,
TX-PAV-0062,PAVEMENT_MARKINGS,PAVEMENT_HOV_DIAMOND,true,false,
TX-PAV-0063,PAVEMENT_MARKINGS,PAVEMENT_SHARROW,true,false,
TX-PAV-0064,PAVEMENT_MARKINGS,PAVEMENT_TURN_LANE_CENTER,true,false,
TX-PAV-0065,PAVEMENT_MARKINGS,PAVEMENT_RAILROAD_CROSSING_X,true,false,
TX-PAV-0067,PAVEMENT_MARKINGS,PAVEMENT_HANDICAP_SYMBOL,true,false,
TX-PRK-0001,PARKING,PARKING_FIRE_HYDRANT_15FT,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-PRK-0001__PARKING_FIRE_HYDRANT_15FT.png
TX-PRK-0018,PARKING,MUTCD_R8-3a_NO_PARKING_ANYTIME,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-PRK-0018__MUTCD_R8-3a_NO_PARKING_ANYTIME.png
TX-PRK-0020,PARKING,MUTCD_R7-8_NO_PARKING,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-PRK-0020__MUTCD_R7-8_NO_PARKING.png
TX-PRK-0023,PARKING,PARKING_PARALLEL_STEPS,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-PRK-0023__PARKING_PARALLEL_STEPS.png
TX-PRK-0031,PARKING,PARKING_HILL_UPHILL_CURB,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-PRK-0031__PARKING_HILL_UPHILL_CURB.png
TX-PRK-0032,PARKING,PARKING_HILL_DOWNHILL_CURB,true,false,
TX-PRK-0041,PARKING,PARKING_DISABLED_SPACE,true,false,
TX-PRK-0048,PARKING,MUTCD_R7-107_HANDICAPPED_PARKING,true,false,
TX-PRK-0050,PARKING,PAVEMENT_HANDICAP_SYMBOL,true,false,
TX-ROW-0001,RIGHT_OF_WAY,INTERSECTION_4WAY_STOP,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-ROW-0001__INTERSECTION_4WAY_STOP.png
TX-ROW-0003,RIGHT_OF_WAY,INTERSECTION_UNCONTROLLED,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-ROW-0003__INTERSECTION_UNCONTROLLED.png
TX-ROW-0005,RIGHT_OF_WAY,INTERSECTION_T_STOP,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-ROW-0005__INTERSECTION_T_STOP.png
