question_id,topic,claim_summary,reference_in_question,authoritative_source,status,risk_level,proposed_fix
TX-PRK-0001,PARKING,What is the minimum distance you must park from a fire hydrant? → 15 feet,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0002,PARKING,How far must you park from a crosswalk at an intersection? → 20 feet,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0003,PARKING,What does a blue painted curb indicate? → Disabled parking only with valid permit,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0004,PARKING,"Is it legal to park on a sidewalk? → No, it blocks pedestrian access",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0005,PARKING,How far must you park from a stop sign or traffic signal? → 30 feet,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0006,PARKING,What does a red painted curb mean? → No stopping or parking at any time,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0007,PARKING,"Can you park in front of a private driveway? → No, it blocks property access",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0008,PARKING,How far from a railroad crossing must you avoid parking? → 50 feet,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0009,PARKING,What does double parking mean? → Parking alongside a vehicle already parked at the curb,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0010,PARKING,What does a yellow painted curb typically indicate? → Loading zone for commercial vehicles,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0011,PARKING,"Is it legal to park within an intersection? → No, intersections must remain clear",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0012,PARKING,How far must you park from a fire station driveway on the same side of the street? → 20 feet,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0013,PARKING,How far must you park from a fire station driveway on the opposite side of the street? → 75 feet,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0014,PARKING,"Can you park in a designated bike lane? → No, bike lanes must remain clear",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0015,PARKING,What does a white painted curb indicate? → Passenger loading zone with time limit,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0016,PARKING,"What does a green painted curb typically indicate? → Limited time parking, usually 15-30 minutes",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0017,PARKING,"Is it legal to park between a safety zone and the adjacent curb? → No, this area must remain clear",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0018,PARKING,You see a sign that says 'NO PARKING ANYTIME' with a red circle and slash. What does this mean? → Parking is never permitted in this location,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0019,PARKING,"Can you park directly on a crosswalk? → No, crosswalks must remain clear",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
